Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,SessionDuration,TotalPagesViewed,High_Revenue,Engage_2
0,0.0,0,0.0,30,1726.75,0.0,0.015555556,0.0,0,11,2,4,3,2,0,0,0,1726.75,30,0,1
1,45.0,0,0.0,13,1610.916667,0.0,0.007142857,0.0,0,3,1,1,1,3,0,1,0,1655.916667,14,0,1
0,0.0,0,0.0,14,1404.75,0.0,0.021428571,0.0,0,12,2,2,1,2,0,0,0,1404.75,14,0,1
5,184.3333333,1,108.0,10,558.8,0.0,0.014285714,0.0,0,3,3,2,7,8,0,0,0,851.1333333,16,0,1
1,29.2,0,0.0,7,75.6,0.0,0.025,0.0,0,8,1,1,4,2,0,1,0,104.8,8,0,1
10,208.5133333,0,0.0,17,369.1,0.0,0.004,0.0,0,9,3,2,1,6,0,0,0,577.6133333,27,0,1
1,9.0,0,0.0,12,764.75,0.0,0.023076923,9.641076923,0,5,2,2,8,2,0,0,1,773.75,13,1,1
3,46.9,0,0.0,26,561.4,0.0,0.007142857,53.88782441,0,11,2,5,1,5,0,0,1,608.3,29,1,1
2,37.0,0,0.0,7,139.3333333,0.0,0.011111111,0.0,0,3,3,2,7,8,0,1,0,176.3333333,9,0,1
5,105.5,0,0.0,16,733.252381,0.0,0.006862745,0.0,0,5,3,2,1,6,0,0,0,838.752381,21,0,1
0,0.0,0,0.0,12,309.3666667,0.014285714,0.019047619,14.37785831,0,9,3,2,1,6,0,0,1,309.3666667,12,1,1
3,120.0,0,0.0,5,198.0,0.0,0.014285714,0.0,0,5,3,3,4,2,0,1,0,318.0,8,0,1
2,117.0,0,0.0,13,309.9333333,0.0,0.013333333,0.0,0,3,2,2,2,2,0,0,0,426.9333333,15,0,1
1,143.0,4,48.0,16,333.75,0.0,0.003333333,0.0,0,3,1,1,1,2,0,0,0,524.75,21,0,1
3,41.5,0,0.0,5,68.75,0.0,0.0375,0.0,0,11,1,2,1,8,0,0,0,110.25,8,0,1
4,26.0,0,0.0,18,727.6190476,0.0,0.013333333,0.0,0,5,2,2,5,3,0,1,0,753.6190476,22,0,1
0,0.0,0,0.0,10,279.3333333,0.02,0.025,0.0,0,11,3,2,9,2,0,0,0,279.3333333,10,0,1
3,115.0,0,0.0,6,132.75,0.0,0.022222222,0.0,0,12,1,1,7,2,0,1,0,247.75,9,0,1
4,52.0,0,0.0,16,360.0,0.0,0.010526316,0.0,0,5,2,2,1,16,0,0,0,412.0,20,0,1
1,64.5,0,0.0,36,766.2166667,0.0,0.001851852,0.0,0,12,3,2,3,2,0,0,0,830.7166667,37,0,1
1,103.0,0,0.0,20,1140.666667,0.0,0.005,19.18108767,0,12,3,2,3,2,0,0,1,1243.666667,21,1,1
1,0.0,0,0.0,60,1995.416667,0.0,0.003389831,61.58171224,0,11,2,4,1,7,0,0,1,1995.416667,61,1,1
0,0.0,0,0.0,23,1888.5,0.0,0.008695652,46.00643478,0,5,2,2,4,4,0,1,1,1888.5,23,1,1
4,82.5,3,419.0,22,1005.806061,0.0,0.007407407,0.0,0,3,2,2,2,2,0,1,0,1507.306061,29,0,1
1,56.5,0,0.0,16,541.875,0.0,0.0125,15.14864831,0,11,2,4,9,8,0,0,1,598.375,17,1,1
4,54.5,0,0.0,3,21.0,0.0,0.033333333,0.0,0,11,1,1,2,2,0,0,0,75.5,7,0,1
0,0.0,0,0.0,8,427.75,0.0,0.0125,0.0,0,12,4,2,1,2,0,0,0,427.75,8,0,1
3,137.0,4,219.0,22,924.0,0.007142857,0.028571429,29.90282143,0,5,2,2,9,2,0,0,1,1280.0,29,1,1
5,87.75,0,0.0,6,135.0833333,0.0,0.009090909,0.0,0,11,1,1,2,2,0,1,0,222.8333333,11,0,1
4,396.5,0,0.0,6,415.5,0.0,0.0125,0.0,0,12,1,1,3,8,0,0,0,812.0,10,0,1
6,276.75,0,0.0,12,342.125,0.0,0.007142857,0.0,0,11,1,2,3,2,0,0,0,618.875,18,0,1
0,0.0,0,0.0,24,607.9666667,0.0,0.004166667,19.47465798,0,11,4,1,1,2,0,0,1,607.9666667,24,1,1
2,44.0,0,0.0,8,182.0,0.0,0.005,0.0,0,5,2,4,1,2,0,0,0,226.0,10,0,1
5,58.0,0,0.0,10,657.2619048,0.0,0.004166667,0.0,0,3,1,1,2,2,0,0,0,715.2619048,15,0,1
0,0.0,0,0.0,12,366.5,0.0,0.016666667,287.9537928,0,12,2,2,1,2,0,0,1,366.5,12,1,1
0,0.0,0,0.0,9,206.6,0.0,0.005555556,0.0,0,7,2,4,3,4,0,0,0,206.6,9,0,1
5,92.75,1,74.75,84,2756.215152,0.0,0.002462121,0.0,0,3,2,2,9,3,0,1,0,2923.715152,90,0,1
3,63.0,2,204.25,20,457.25,0.009090909,0.013636364,0.0,0,12,3,2,7,2,0,0,1,724.5,25,0,1
0,0.0,0,0.0,12,582.5,0.0,0.006666667,0.0,0,5,2,4,4,2,0,1,0,582.5,12,0,1
0,0.0,0,0.0,10,478.5,0.0,0.02,0.0,0,11,4,1,1,2,0,0,0,478.5,10,0,1
3,86.1,2,28.4,2,5.0,0.0,0.033333333,0.0,0,7,2,2,1,5,0,0,0,119.5,7,0,1
0,0.0,1,273.0,22,2386.0,0.0,0.020289855,0.0,0,12,2,2,6,2,0,0,1,2659.0,23,0,1
0,0.0,9,1779.166667,12,1886.5,0.007017544,0.019298246,0.0,0,5,2,2,6,3,0,0,0,3665.666667,21,0,1
3,29.0,0,0.0,2,7.0,0.0,0.04,0.0,0,12,2,2,3,2,0,0,0,36.0,5,0,1
3,36.2,0,0.0,16,166.7062706,0.0,0.014705882,0.0,0,8,2,2,6,5,0,0,0,202.90627060000003,19,0,1
3,423.0,0,0.0,24,1203.533333,0.0,0.011111111,0.0,0,10,4,1,1,4,0,0,0,1626.533333,27,0,1
5,209.625,2,118.75,21,398.0,0.006896552,0.02183908,0.0,0,12,2,2,4,2,0,0,0,726.375,28,0,1
4,30.3,0,0.0,7,493.4,0.0,0.016666667,0.0,0,10,2,5,1,2,0,0,1,523.6999999999999,11,0,1
1,63.5,0,0.0,7,58.9,0.0,0.025,0.0,0,12,1,1,2,2,0,0,0,122.4,8,0,1
6,228.0,5,89.33333333,18,513.4666667,0.0,0.003461538,0.0,0,3,1,1,3,3,0,0,0,830.8000000300001,29,0,1
0,0.0,0,0.0,17,477.7166667,0.0,0.0,0.0,0,9,2,2,6,2,0,1,0,477.7166667,17,0,1
7,56.3,0,0.0,15,315.4,0.0,0.011111111,0.0,0,10,2,2,1,2,0,0,0,371.7,22,0,1
1,235.0,0,0.0,3,127.6,0.0,0.025,0.0,0,12,2,2,1,2,0,0,0,362.6,4,0,1
0,0.0,0,0.0,4,86.0,0.0,0.025,0.0,0,12,2,5,1,8,0,1,0,86.0,4,0,1
0,0.0,0,0.0,43,1606.45,0.0,0.004761905,18.51505467,0,6,4,1,1,2,0,0,1,1606.45,43,1,1
7,133.1666667,2,80.0,10,246.7916667,0.0,0.008333333,0.0,0,5,2,2,1,3,0,0,0,459.9583334,19,0,1
2,30.2,0,0.0,32,776.8833333,0.0,0.003125,0.0,0,7,2,4,1,5,0,0,0,807.0833333,34,0,1
4,138.3333333,0,0.0,3,277.5,0.0,0.011111111,0.0,0,5,3,3,3,2,0,0,0,415.8333333,7,0,1
2,24.2,0,0.0,3,52.4,0.0,0.04,0.0,0,9,2,2,3,5,0,0,0,76.6,5,0,1
2,16.2,0,0.0,3,268.0,0.0,0.04,49.55482147,0,11,2,2,5,5,0,0,0,284.2,5,1,1
1,27.0,0,0.0,4,467.0,0.0,0.025,0.0,0,5,1,1,1,4,0,0,0,494.0,5,0,1
1,3.0,0,0.0,13,543.0,0.0,0.008333333,0.0,0,12,2,2,1,2,0,0,0,546.0,14,0,1
1,78.0,0,0.0,2,25.75,0.0,0.066666667,0.0,0,11,4,2,6,8,0,0,0,103.75,3,0,1
2,22.2,0,0.0,18,470.8966667,0.0,0.005,0.0,0,11,2,2,2,4,0,0,0,493.0966667,20,0,1
2,23.2,0,0.0,5,59.4,0.0,0.00952381,32.73373471,0,11,2,4,4,5,0,0,0,82.6,7,1,1
2,33.0,0,0.0,9,354.0,0.0,0.02,0.0,0,3,3,2,1,3,0,0,0,387.0,11,0,1
0,0.0,0,0.0,4,76.75,0.0,0.016666667,0.0,0,11,1,1,8,2,0,0,1,76.75,4,0,1
2,53.5,0,0.0,20,559.3809524,0.0,0.01,0.0,1,5,2,2,1,4,0,1,0,612.8809524,22,0,1
1,12.0,2,11.0,18,974.1666667,0.005454545,0.032251082,0.0,0,11,3,2,1,2,0,0,0,997.1666667,21,0,1
4,39.8,0,0.0,9,132.4,0.0,0.006666667,0.0,0,8,2,2,1,5,0,0,1,172.2,13,0,1
4,209.5,0,0.0,23,1780.7,0.0,0.011538462,0.0,0,11,2,2,3,2,0,0,0,1990.2,27,0,1
0,0.0,0,0.0,2,96.0,0.0,0.05,0.0,0,11,2,4,3,2,0,0,0,96.0,2,0,1
4,32.33333333,0,0.0,18,374.6,0.0,0.010526316,0.0,0,9,2,2,3,3,0,0,0,406.93333333,22,0,1
4,74.33333333,3,10.0,2,73.0,0.0,0.044444444,0.0,0,5,3,2,1,6,0,0,0,157.33333333000002,9,0,1
1,160.2,0,0.0,13,381.6166667,0.0,0.011904762,0.0,0,10,1,2,3,2,0,0,0,541.8166667,14,0,1
1,71.6,0,0.0,7,286.7,0.0,0.008333333,0.0,0,8,1,1,7,3,0,0,0,358.29999999999995,8,0,1
6,77.75,0,0.0,18,941.9166667,0.0,0.001428571,0.0,0,11,2,2,1,2,0,0,0,1019.6666667,24,0,1
0,0.0,0,0.0,11,1267.25,0.02,0.03,0.0,0,11,1,8,2,11,0,1,0,1267.25,11,0,1
0,0.0,0,0.0,7,278.75,0.028571429,0.042857143,0.0,0,12,3,2,1,20,0,0,0,278.75,7,0,1
0,0.0,3,56.0,10,369.0,0.0,0.016666667,0.0,0,3,1,1,4,2,0,1,0,425.0,13,0,1
0,0.0,0,0.0,13,420.0,0.0,0.030769231,0.0,0,12,2,5,6,2,0,0,0,420.0,13,0,1
3,40.2,0,0.0,11,201.1333333,0.0,0.02,0.0,0,6,2,2,2,1,0,0,0,241.3333333,14,0,1
5,73.8,0,0.0,5,82.5,0.0,0.028571429,0.0,0,8,2,5,6,5,0,0,0,156.3,10,0,1
1,28.2,0,0.0,2,0.0,0.066666667,0.133333333,0.0,0,6,1,8,2,3,0,1,0,28.2,3,0,1
6,107.0,1,10.5,5,39.5,0.0,0.0125,0.0,0,5,2,2,1,5,0,0,0,157.0,12,0,1
4,48.0,0,0.0,2,11.0,0.0,0.008,0.0,0,3,2,6,6,7,0,0,0,59.0,6,0,1
5,52.5,0,0.0,7,415.5,0.0,0.016666667,0.0,0,5,2,2,1,4,0,0,0,468.0,12,0,1
1,5.0,0,0.0,8,203.0,0.0,0.00952381,0.0,0,12,2,4,1,2,0,0,0,208.0,9,0,1
1,66.4,0,0.0,22,641.4809524,0.0,0.004761905,0.0,0,10,3,2,4,6,0,0,0,707.8809524,23,0,1
7,196.0,3,138.5,11,227.5,0.0,0.006666667,0.0,0,3,3,2,5,8,0,1,0,562.0,21,0,1
2,452.5,0,0.0,18,762.2380952,0.0,0.002352941,0.0,0,11,1,1,6,2,0,0,0,1214.7380952,20,0,1
3,44.0,0,0.0,2,28.0,0.0,0.04,0.0,0,11,1,1,1,2,0,0,0,72.0,5,0,1
0,0.0,0,0.0,9,553.0,0.0,0.025,53.988,0,5,1,1,1,4,0,0,1,553.0,9,1,1
0,0.0,0,0.0,14,1340.75,0.0,0.015384615,57.58892308,0,5,4,1,3,4,0,0,1,1340.75,14,1,1
8,974.0,0,0.0,32,1003.416667,0.005263158,0.010526316,16.61144026,0,12,2,10,7,2,0,1,1,1977.416667,40,1,1
5,93.4,0,0.0,38,689.65,0.0,0.004878049,34.48748308,0,10,2,2,2,2,0,1,1,783.05,43,1,1
7,1463.333333,0,0.0,30,1410.238889,0.005263158,0.010557237,0.0,0,11,1,1,4,2,0,0,0,2873.572222,37,0,1
1,22.0,0,0.0,26,982.8333333,0.0,0.008,0.0,0,5,2,2,1,1,0,1,0,1004.8333333,27,0,1
7,58.41666667,0,0.0,22,1043.583333,0.014285714,0.048809524,0.0,0,11,2,2,3,2,0,0,0,1101.99999967,29,0,1
3,136.5,0,0.0,10,412.0833333,0.0,0.016666667,0.0,0,12,3,3,3,2,0,0,0,548.5833333,13,0,1
3,40.0,0,0.0,24,3830.0,0.0,0.025333333,0.0,0,11,1,1,7,8,0,0,1,3870.0,27,0,1
3,105.0,0,0.0,35,999.0,0.0,0.005714286,0.0,0,5,3,2,3,4,0,0,0,1104.0,38,0,1
1,111.0,0,0.0,13,274.5833333,0.0,0.016666667,0.0,0,11,1,1,1,2,0,0,0,385.5833333,14,0,1
0,0.0,0,0.0,24,381.25,0.0125,0.0625,0.0,0,11,2,2,1,11,0,1,0,381.25,24,0,1
1,37.0,0,0.0,10,240.4166667,0.018181818,0.022727273,0.0,0,5,2,2,3,3,0,1,0,277.4166667,11,0,1
0,0.0,0,0.0,11,660.8,0.0,0.0,33.83646892,0,6,2,2,6,1,0,0,1,660.8,11,1,1
0,0.0,0,0.0,3,31.0,0.0,0.033333333,0.0,0,12,2,2,1,2,0,0,0,31.0,3,0,1
4,102.2,0,0.0,3,72.0,0.0,0.016666667,0.0,0,7,2,2,6,5,0,0,0,174.2,7,0,1
6,184.32,0,0.0,8,163.22,0.0,0.018181818,0.0,0,11,1,1,1,2,0,0,0,347.54,14,0,1
0,0.0,0,0.0,19,692.6222222,0.0,0.001470588,53.988,0,5,6,2,9,2,0,0,1,692.6222222,19,1,1
4,45.4,0,0.0,14,339.0,0.0,0.010526316,0.0,0,7,2,2,1,5,0,0,0,384.4,18,0,1
0,0.0,0,0.0,9,191.5625,0.0,0.024691358,0.0,0,11,3,3,1,11,0,1,0,191.5625,9,0,1
5,113.5,0,0.0,13,437.2,0.0,0.002222222,0.0,0,3,1,8,4,11,0,0,0,550.7,18,0,1
15,1011.361111,2,171.5,54,1405.131241,0.0,0.006127451,37.41814196,0,3,3,2,3,2,0,1,0,2587.992352,71,1,1
2,45.5,0,0.0,9,122.25,0.0,0.018181818,0.0,0,12,2,2,7,2,0,0,0,167.75,11,0,1
5,169.0,0,0.0,3,50.0,0.0,0.033333333,0.0,0,3,1,1,1,9,0,0,0,219.0,8,0,1
2,18.0,2,6.0,10,363.6,0.0,0.015384615,0.0,0,9,2,2,1,5,0,1,1,387.6,14,0,1
4,63.0,0,0.0,22,2232.5,0.0,0.008,0.0,0,5,2,2,9,2,0,0,0,2295.5,26,0,1
3,96.0,0,0.0,6,384.0,0.0,0.025,0.0,0,3,3,2,1,2,0,0,0,480.0,9,0,1
1,82.6,0,0.0,25,243.4666667,0.016,0.024,0.0,0,8,2,2,2,2,0,0,0,326.0666667,26,0,1
2,46.4,1,29.2,12,303.2464286,0.0,0.015384615,0.0,0,10,1,1,3,2,0,1,0,378.8464286,15,0,1
2,67.0,0,0.0,8,533.3,0.0,0.016666667,0.0,0,9,3,2,9,2,0,0,0,600.3,10,0,1
5,100.0,0,0.0,7,137.25,0.02,0.05,0.0,0,12,1,2,3,3,0,0,0,237.25,12,0,1
4,95.8,2,35.7,14,380.2666667,0.0,0.011111111,0.0,0,10,2,4,7,2,0,0,0,511.7666667,20,0,1
2,67.5,0,0.0,10,268.0,0.0,0.018181818,59.51850423,0,12,2,2,1,2,0,0,1,335.5,12,1,1
6,78.75,0,0.0,24,465.7321429,0.0,0.015384615,0.0,0,12,4,2,1,2,0,0,0,544.4821429,30,0,1
2,21.0,0,0.0,33,682.9583333,0.008823529,0.025653595,0.0,0,12,3,2,9,2,0,0,0,703.9583333,35,0,1
1,4.0,0,0.0,8,492.25,0.0,0.044444444,0.0,0,12,2,2,1,2,0,0,0,496.25,9,0,1
4,174.8,0,0.0,16,237.5,0.0,0.011111111,0.0,0,9,3,2,4,2,0,0,0,412.3,20,0,1
0,0.0,0,0.0,38,1787.395833,0.004824561,0.031871345,0.0,0,11,2,2,4,2,0,0,0,1787.395833,38,0,1
0,0.0,0,0.0,15,431.2,0.0,0.007142857,0.0,0,9,2,5,9,5,0,0,0,431.2,15,0,1
2,14.25,0,0.0,29,1082.75,0.0,0.006896552,84.87572674,0,11,2,5,3,2,0,0,1,1097.0,31,1,1
2,70.6,0,0.0,27,213.0157143,0.0,0.007407407,79.51302667,0,10,2,2,1,3,0,1,1,283.61571430000004,29,1,1
1,11.0,0,0.0,15,175.75,0.0,0.025,0.0,0,11,1,1,2,2,0,0,0,186.75,16,0,1
2,35.3,0,0.0,2,20.1,0.0,0.0,40.27815244,0,9,2,2,1,6,0,0,1,55.4,4,1,1
2,107.0,0,0.0,3,56.0,0.0,0.04,0.0,0,3,1,1,3,2,0,0,0,163.0,5,0,1
0,0.0,0,0.0,12,892.0833333,0.016666667,0.045833333,0.0,0,12,2,2,6,2,0,0,0,892.0833333,12,0,1
9,298.6666667,0,0.0,27,1084.5,0.0,0.010784314,22.96411765,0,3,2,2,1,8,0,0,0,1383.1666667,36,1,1
0,0.0,0,0.0,24,805.0,0.0,0.008695652,53.988,0,5,2,2,1,2,0,1,1,805.0,24,1,1
1,29.33333333,0,0.0,6,330.4166667,0.0,0.023809524,0.0,0,12,3,3,4,8,0,0,0,359.75000003,7,0,1
0,0.0,0,0.0,7,340.5,0.0,0.028571429,0.0,0,11,2,4,4,2,0,1,0,340.5,7,0,1
3,53.0,0,0.0,63,2461.25,0.0,0.005729167,0.0,0,5,2,2,8,3,0,0,0,2514.25,66,0,1
3,377.0,0,0.0,14,634.0,0.0,0.013333333,0.0,0,5,1,1,8,15,0,1,0,1011.0,17,0,1
1,8.1,0,0.0,16,2227.8,0.0,0.021428571,0.0,0,9,2,2,1,5,0,0,1,2235.9,17,0,1
0,0.0,0,0.0,17,390.7738095,0.0,0.025,0.0,0,11,1,1,3,3,0,1,0,390.7738095,17,0,1
8,249.0,1,36.33333333,31,1124.916667,0.0,0.014672365,18.08584615,0,5,2,4,5,5,0,0,1,1410.25000033,40,1,1
3,78.5,0,0.0,10,673.0,0.015384615,0.01025641,0.0,0,5,1,2,1,4,0,0,0,751.5,13,0,1
0,0.0,0,0.0,10,253.5,0.0,0.022222222,63.588,0,3,1,1,1,2,0,1,1,253.5,10,1,1
0,0.0,0,0.0,5,62.5,0.0,0.04,0.0,0,11,2,2,1,8,0,0,0,62.5,5,0,1
5,64.9,0,0.0,21,1922.15,0.0,0.009333333,60.62885042,0,11,3,2,1,2,0,0,1,1987.05,26,1,1
0,0.0,0,0.0,15,372.0833333,0.0,0.04,0.0,0,11,2,2,1,2,0,1,0,372.0833333,15,0,1
0,0.0,0,0.0,9,427.0,0.0,0.025,13.1168283,0,12,1,1,1,2,0,1,1,427.0,9,1,1
6,102.0,0,0.0,11,501.5,0.0,0.007142857,0.0,0,11,4,1,1,8,0,0,0,603.5,17,0,1
8,287.7,0,0.0,20,531.56,0.0,0.012121212,0.0,0,10,2,2,9,20,0,0,0,819.26,28,0,1
8,246.5,0,0.0,74,2326.666667,0.0,0.002597403,5.015272727,0,5,2,4,3,2,0,0,0,2573.166667,82,1,1
1,56.4,1,14.2,24,1183.826667,0.0,0.005128205,0.0,0,7,2,2,8,2,0,1,0,1254.426667,26,0,1
7,154.0,3,248.1666667,34,886.4791667,0.0,0.005128205,77.801588,0,12,2,2,1,2,0,0,1,1288.6458334,44,1,1
5,256.1,2,99.7,4,417.4,0.0,0.01,0.0,0,9,1,1,6,2,0,0,0,773.2,11,0,1
4,34.4,0,0.0,12,189.4333333,0.0,0.014285714,0.0,0,9,2,10,4,4,0,0,0,223.8333333,16,0,1
2,112.0,0,0.0,9,198.8333333,0.0,0.006060606,0.0,0,3,3,2,3,2,0,1,0,310.8333333,11,0,1
0,0.0,0,0.0,23,1215.666667,0.0,0.004761905,0.0,0,12,2,2,5,2,0,0,0,1215.666667,23,0,1
0,0.0,0,0.0,4,48.5,0.05,0.1,0.0,0,12,2,2,9,2,0,0,0,48.5,4,0,1
5,197.0,4,246.0,17,427.0833333,0.0,0.008695652,0.0,0,3,1,1,3,2,0,0,0,870.0833333,26,0,1
1,54.4,0,0.0,6,270.9,0.0,0.014285714,0.0,0,10,1,1,7,3,0,0,0,325.29999999999995,7,0,1
0,0.0,3,34.0,18,271.1666667,0.0,0.00952381,0.0,0,11,2,4,9,2,0,0,0,305.1666667,21,0,1
0,0.0,0,0.0,17,1059.575,0.0,0.011764706,62.76294758,0,11,2,2,1,2,0,0,1,1059.575,17,1,1
0,0.0,0,0.0,14,289.625,0.0,0.028571429,0.0,0,11,2,2,1,2,0,1,0,289.625,14,0,1
0,0.0,0,0.0,17,1040.1,0.0,0.013333333,128.8278691,0,12,2,2,5,2,0,0,1,1040.1,17,1,1
2,17.0,0,0.0,11,440.0,0.0,0.018181818,54.53454545,0,5,2,4,8,4,0,0,1,457.0,13,1,1
6,104.5,0,0.0,11,1206.75,0.0,0.013333333,0.0,0,12,4,1,4,8,0,0,0,1311.25,17,0,1
1,18.1,2,72.5,9,136.2833333,0.018181818,0.027272727,0.0,0,6,2,2,2,2,0,0,0,226.8833333,12,0,1
4,120.7,0,0.0,5,74.4,0.0,0.022222222,0.0,0,10,2,2,4,5,0,0,0,195.1,9,0,1
2,256.0,0,0.0,14,574.5,0.0,0.014285714,0.0,0,5,3,3,8,11,0,0,0,830.5,16,0,1
4,75.0,0,0.0,7,185.0,0.0,0.009090909,0.0,0,5,2,2,4,6,0,0,0,260.0,11,0,1
4,34.93333333,0,0.0,2,22.8,0.0,0.028571429,0.0,0,10,2,2,4,2,0,0,0,57.73333333000001,6,0,1
3,23.16666667,0,0.0,12,122.225,0.0,0.014285714,0.0,0,12,2,2,9,2,0,1,0,145.39166667,15,0,1
2,95.3,0,0.0,14,262.587619,0.0125,0.004910714,0.0,0,11,1,1,4,2,0,0,0,357.88761900000003,16,0,1
5,32.6,0,0.0,70,939.7833333,0.0,0.002702703,0.0,0,8,2,4,1,5,0,1,1,972.3833333,75,0,1
3,33.6,0,0.0,4,109.5,0.0,0.013333333,0.0,0,10,3,2,1,2,0,0,0,143.1,7,0,1
0,0.0,0,0.0,22,1327.666667,0.0,0.032359307,0.0,0,11,2,2,1,2,0,1,1,1327.666667,22,0,1
2,112.25,0,0.0,9,97.41666667,0.018181818,0.036363636,0.0,0,12,3,2,3,2,0,0,0,209.66666667,11,0,1
3,36.0,2,763.0,9,163.5,0.0,0.014285714,0.0,0,12,8,2,1,2,0,0,1,962.5,14,0,1
