Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,SessionDuration,TotalPagesViewed,High_Revenue
9,441.85,0,0.0,122,2577.449603,0.0,0.010463332,75.27712913,0,11,1,1,1,2,1,0,1,3019.299603,131,1
8,377.5128205,3,265.0,60,2062.890972,0.014009662,0.026580162,1.70506715,0,3,1,1,4,2,1,0,1,2705.4037925,71,1
10,183.75,1,15.0,70,2860.5,0.009876543,0.025308642,8.488518519,0,5,4,1,4,3,1,1,0,3059.25,81,1
3,35.2,0,0.0,44,1535.666667,0.012765957,0.014184397,17.21022568,0,7,1,1,1,3,1,0,0,1570.866667,47,1
1,43.0,0,0.0,38,1348.7,0.0,0.028376068,2.561538462,0,5,2,6,1,1,1,0,0,1391.7,39,1
0,0.0,0,0.0,21,1128.583333,0.0,0.013043478,3.685400817,0,12,2,2,1,2,1,0,0,1128.583333,21,1
2,38.0,0,0.0,77,1230.312302,0.0,0.003492063,79.0,0,5,2,4,4,2,1,0,0,1268.312302,79,1
1,55.0,2,18.0,9,548.0,0.0,0.04,17.2704,0,5,2,4,3,4,1,0,1,621.0,12,1
0,0.0,1,108.8,10,322.3666667,0.0,0.009090909,61.80843596,0,11,2,5,4,2,1,0,1,431.1666667,11,1
1,78.0,1,14.0,37,935.5571429,0.0,0.027027027,67.73686486,0,5,2,2,1,3,1,0,0,1027.5571429,39,1
7,351.0833333,1,131.0,53,3271.030448,0.0,0.005527012,13.78150822,0,11,1,1,2,4,1,0,0,3753.1137813,61,1
6,125.25,2,89.0,146,3697.731633,0.008108108,0.015188129,73.35866939,0,11,2,2,1,2,1,1,1,3911.981633,154,1
3,99.75,0,0.0,89,2520.056936,0.002173913,0.012934783,40.51760545,0,11,2,2,1,3,1,0,1,2619.806936,92,1
14,286.5333333,2,118.8,31,835.71,0.0,0.007317073,33.05509961,0,11,2,2,7,2,1,0,1,1241.0433333,47,1
2,35.5,0,0.0,29,3296.65,0.009677419,0.021935484,18.25059634,0,12,4,2,9,8,1,0,0,3332.15,31,1
8,227.5326923,3,292.6842105,66,3025.521713,0.015995116,0.025541275,7.371682608,0,3,3,2,3,6,1,0,1,3545.7386158,77,1
0,0.0,0,0.0,14,825.3333333,0.0,0.0,50.4111604,0,8,2,2,8,4,1,0,1,825.3333333,14,1
1,0.0,0,0.0,58,1200.5,0.002298851,0.017816092,17.98756852,0,12,2,10,3,6,1,0,0,1200.5,59,1
1,103.0,0,0.0,20,1140.666667,0.0,0.005,19.18108767,0,12,3,2,3,2,0,0,1,1243.666667,21,1
1,7.0,0,0.0,21,803.0,0.031578947,0.052631579,7.014753437,0,11,3,2,3,3,1,0,1,810.0,22,1
6,71.5,0,0.0,47,1532.2,0.009929078,0.019797366,27.26888014,0,3,2,2,1,1,1,0,1,1603.7,53,1
9,357.25,3,115.0,45,2889.25,0.0,0.007,54.9759,0,5,2,2,1,4,1,0,1,3361.5,57,1
4,112.5,0,0.0,26,1657.0,0.007407407,0.020987654,5.237224754,0,11,2,2,1,13,1,0,0,1769.5,30,1
6,32.06666667,0,0.0,41,1921.10307,0.014074074,0.032987654,5.290262526,0,7,2,2,3,1,1,0,0,1953.16973667,47,1
1,0.0,0,0.0,60,1995.416667,0.0,0.003389831,61.58171224,0,11,2,4,1,7,0,0,1,1995.416667,61,1
6,479.25,0,0.0,51,2156.525403,0.0,0.011878788,6.229994739,0,11,2,2,1,2,1,0,1,2635.775403,57,1
0,0.0,0,0.0,23,1888.5,0.0,0.008695652,46.00643478,0,5,2,2,4,4,0,1,1,1888.5,23,1
1,56.5,0,0.0,16,541.875,0.0,0.0125,15.14864831,0,11,2,4,9,8,0,0,1,598.375,17,1
7,241.8611111,3,228.0,154,4755.224054,0.009808489,0.029142563,1.104440234,0,11,1,2,2,1,1,0,0,5225.0851651,164,1
4,45.75,0,0.0,18,1273.083333,0.0,0.031818182,6.750968245,0,12,1,1,1,1,1,0,1,1318.833333,22,1
3,137.0,4,219.0,22,924.0,0.007142857,0.028571429,29.90282143,0,5,2,2,9,2,0,0,1,1280.0,29,1
13,345.0166667,0,0.0,90,1816.555008,0.0,0.004861111,86.31034266,0,8,4,2,3,4,1,0,0,2161.5716747,103,1
6,124.8611111,3,243.0,25,1971.194444,0.007142857,0.030238095,24.897,0,5,2,2,5,4,1,0,1,2339.0555551,34,1
0,0.0,3,470.0,84,3882.025758,0.004909561,0.02088789,10.21229767,0,5,2,4,1,1,1,0,0,4352.025758,87,1
0,0.0,0,0.0,8,856.4166667,0.0,0.028571429,44.56114286,0,5,2,4,9,5,1,0,1,856.4166667,8,1
10,290.3333333,0,0.0,60,2818.094444,0.016666667,0.018387097,2.050814516,0,5,1,1,6,2,1,0,0,3108.4277773,70,1
1,30.2,0,0.0,20,293.0333333,0.019047619,0.025396825,9.775216594,0,11,1,2,1,1,1,0,0,323.2333333,21,1
3,173.9444444,0,0.0,14,890.5277778,0.0,0.028571429,52.74177636,0,12,4,5,5,10,1,0,1,1064.4722222,17,1
8,889.1666667,0,0.0,137,5588.185426,0.000729167,0.026320008,6.898232461,0,11,2,2,1,3,1,0,1,6477.3520927,145,1
0,0.0,0,0.0,24,607.9666667,0.0,0.004166667,19.47465798,0,11,4,1,1,2,0,0,1,607.9666667,24,1
6,166.375,1,0.0,39,1858.833333,0.001515152,0.011818182,50.17693633,0,12,1,1,1,2,1,0,0,2025.208333,46,1
2,58.5,0,0.0,28,968.6666667,0.013793103,0.024712644,14.02863873,0,11,2,5,1,3,1,0,1,1027.1666667,30,1
5,79.33333333,3,242.0555556,17,1142.816919,0.006818182,0.018519814,62.16886364,0,3,3,2,6,2,1,0,0,1464.20580793,25,1
2,24.42857143,7,278.1666667,76,2735.728571,0.002439024,0.024843206,8.631719512,0,3,2,5,2,7,1,0,1,3038.32380913,85,1
1,101.0,0,0.0,46,1687.85,0.0,0.011111111,18.844,0,5,2,2,3,4,1,0,0,1788.85,47,1
5,143.8333333,1,55.0,19,1762.5,0.0,0.013461538,31.54642738,0,3,3,2,1,2,1,0,1,1961.3333333,25,1
2,12.0,0,0.0,45,547.5,0.033469388,0.054460641,13.18408163,0,5,2,10,3,2,1,0,0,559.5,47,1
8,269.0416667,3,64.5,171,6400.430101,0.006967985,0.017556729,4.213364204,0,11,1,1,1,1,1,0,1,6733.9717677,182,1
7,161.25,1,0.0,32,1038.797619,0.0,0.015714286,59.96777143,0,5,1,1,4,2,1,0,1,1200.047619,40,1
0,0.0,0,0.0,12,366.5,0.0,0.016666667,287.9537928,0,12,2,2,1,2,0,0,1,366.5,12,1
8,296.86,8,179.5,157,16093.30941,0.007903295,0.027247449,2.051882078,0,6,2,2,1,5,1,1,0,16569.66941,173,1
2,161.2,0,0.0,7,555.4,0.044444444,0.055555556,21.09392209,0,10,3,2,2,1,1,0,0,716.5999999999999,9,1
7,41.375,0,0.0,67,3014.290476,0.001917808,0.00781583,4.18760274,0,5,3,2,3,3,1,0,0,3055.665476,74,1
9,399.8,5,923.9,115,7243.649316,0.003225806,0.018928571,3.585439826,0,8,2,2,8,4,1,0,1,8567.349316,129,1
9,223.0,1,93.0,76,2893.940476,0.002409639,0.014859438,1.935491302,0,11,1,2,3,8,1,0,0,3209.940476,86,1
7,132.0,4,256.0666667,125,3674.803673,0.023134328,0.032705748,5.613708292,0,8,3,2,3,13,1,0,0,4062.8703397,136,1
3,30.25,0,0.0,21,327.2666667,0.017391304,0.02826087,68.85704348,0,5,2,2,1,3,1,0,1,357.5166667,24,1
4,52.0,1,7.0,46,3087.0,0.003773585,0.021383648,16.94643793,0,3,2,2,3,8,1,0,1,3146.0,51,1
18,1103.330357,8,696.8333333,359,12959.91515,0.000795756,0.008975428,7.231074783,0,11,2,2,1,2,1,0,1,14760.0788403,385,1
5,143.4428571,1,19.6,184,3579.7859,0.0,0.00381931,138.3208342,0,10,2,2,3,20,1,0,0,3742.8287571,190,1
9,257.0933333,2,39.4,98,3364.64045,0.029570957,0.034691241,35.03953094,0,9,3,2,8,13,1,0,0,3661.1337833,109,1
22,1951.279141,1,99.0,55,3373.015865,0.016438356,0.038292564,8.508237502,0,5,2,2,3,1,1,0,0,5423.295006,78,1
6,96.85714286,0,0.0,28,672.5452381,0.0,0.020707071,19.71468924,0,3,1,1,2,10,1,0,1,769.40238096,34,1
10,187.6944444,5,495.5,122,2743.213113,0.000199005,0.005114363,1.483210939,0,11,2,2,1,2,1,0,1,3426.4075574,137,1
3,430.8333333,1,262.0,49,2338.567766,0.023529412,0.028907563,9.609529412,0,5,3,2,4,4,1,0,1,3031.4010993,53,1
2,76.0,0,0.0,33,831.1111111,0.0,0.0125,77.97458009,0,12,2,2,4,2,1,1,1,907.1111111,35,1
7,105.75,0,0.0,124,3394.130159,0.001587302,0.012918871,5.921482086,0,5,2,2,3,11,1,1,0,3499.880159,131,1
9,524.9333333,2,30.66666667,31,1157.444833,0.005698006,0.02881889,10.79674946,0,11,2,2,3,1,1,1,0,1713.04483297,42,1
0,0.0,0,0.0,43,1606.45,0.0,0.004761905,18.51505467,0,6,4,1,1,2,0,0,1,1606.45,43,1
3,134.0,0,0.0,53,1659.319697,0.0,0.00380117,62.34813701,0,3,4,1,1,2,1,0,1,1793.319697,56,1
1,51.0,2,176.0,37,1420.733333,0.0,0.012612613,102.3538378,0,5,2,5,7,4,1,1,1,1647.733333,40,1
2,38.33333333,0,0.0,68,2277.377056,0.009758454,0.029851908,12.76243133,1,5,2,2,2,2,1,1,0,2315.71038933,70,1
8,440.4615385,1,0.0,89,3236.865632,0.012544803,0.027526998,7.329008963,0,11,1,1,1,10,1,1,0,3677.3271705,98,1
0,0.0,1,81.0,82,3214.020563,0.0,0.007723577,4.667079268,0,3,3,3,2,10,1,0,1,3295.020563,83,1
1,10.0,0,0.0,9,700.0,0.0,0.011111111,29.62188989,0,12,2,2,9,10,1,0,1,710.0,10,1
2,16.2,0,0.0,3,268.0,0.0,0.04,49.55482147,0,11,2,2,5,5,0,0,0,284.2,5,1
22,1153.682251,3,108.0,205,4295.305066,0.001746725,0.008801049,177.5288252,0,11,2,5,3,3,1,1,0,5556.987317,230,1
2,16.5,0,0.0,48,869.1,0.008510638,0.014967916,3.060765957,0,5,2,10,4,3,1,0,0,885.6,50,1
2,23.2,0,0.0,5,59.4,0.0,0.00952381,32.73373471,0,11,2,4,4,5,0,0,0,82.6,7,1
2,28.0,0,0.0,51,2587.766667,0.0,0.007434641,21.47448516,0,11,4,2,3,10,1,0,1,2615.766667,53,1
1,149.5,0,0.0,32,1562.333333,0.038709677,0.062580645,7.636645161,0,5,2,2,3,2,1,0,0,1711.833333,33,1
3,397.7,4,1093.3,66,4152.7631,0.014979592,0.017561939,6.282904602,0,9,3,2,8,4,1,1,0,5643.7631,73,1
1,0.0,0,0.0,20,809.0,0.00952381,0.028571429,25.75735474,0,12,2,5,1,1,1,0,0,809.0,21,1
5,415.55,0,0.0,115,4424.621667,0.004273504,0.023036223,13.29131586,0,8,2,4,4,1,1,1,1,4840.1716670000005,120,1
3,23.0,0,0.0,3,1225.2,0.0,0.04,10.99901844,0,9,2,2,1,1,1,1,1,1248.2,6,1
16,313.8666667,3,153.5,156,3899.001328,0.000170068,0.011252929,1.534835979,0,5,2,2,2,4,1,0,0,4366.3679947,175,1
2,55.4,2,96.8,26,600.5733333,0.013793103,0.022413793,2.812474051,0,8,2,2,1,2,1,0,0,752.7733332999999,30,1
10,337.9,1,6.0,123,2396.272456,0.000902151,0.008565782,1.952553388,0,6,2,2,1,2,1,0,0,2740.172456,134,1
6,89.46666667,1,32.0,81,1141.061905,0.001605136,0.004809853,27.89977528,0,5,4,2,6,3,1,1,0,1262.52857167,88,1
10,259.1666667,0,0.0,46,1535.242063,0.021938776,0.031768707,9.001857143,0,5,1,1,3,4,1,0,0,1794.4087297,56,1
5,69.0,4,163.0,50,2424.75,0.0,0.023333333,2.973214286,0,5,2,2,3,3,1,0,0,2656.75,59,1
10,1271.5,0,0.0,41,1221.138095,0.0,0.007801418,71.46597872,0,5,2,2,2,4,1,0,1,2492.638095,51,1
5,75.89285714,0,0.0,51,4522.409524,0.015757576,0.042922078,3.229518182,1,5,2,2,6,2,1,1,0,4598.30238114,56,1
8,363.05,0,0.0,8,345.0,0.0,0.016666667,13.64300463,0,12,2,2,3,3,1,0,1,708.05,16,1
5,57.33333333,3,167.8,222,6942.783547,0.002212389,0.015536555,2.780937777,0,12,2,2,3,2,1,0,0,7167.91688033,230,1
5,497.75,1,10.0,51,4977.85,0.0,0.015536723,15.35760339,0,5,2,2,1,5,1,0,1,5485.6,57,1
3,182.6428571,3,119.375,64,2671.06994,0.000275482,0.017352092,37.59646822,0,11,2,5,6,2,1,0,1,2973.0877971,70,1
27,853.735949,2,126.5,584,24844.1562,0.00209938,0.009346937,4.511100422,0,11,2,4,3,8,1,0,0,25824.392149000003,613,1
13,498.9,0,0.0,221,3111.362121,0.0,0.006020558,5.268190163,0,10,2,5,4,2,1,0,0,3610.262121,234,1
6,162.5,0,0.0,39,1634.095238,0.0,0.011111111,8.604391304,0,5,3,3,5,2,1,0,0,1796.595238,45,1
9,500.0,0,0.0,54,2201.710714,0.000595238,0.011252834,2.82745293,0,12,2,5,1,1,1,0,0,2701.710714,63,1
5,193.0,1,13.0,66,2049.458471,0.004489796,0.012765306,29.45815149,0,3,3,2,3,1,1,1,0,2255.458471,72,1
11,1640.590909,0,0.0,16,1849.833333,0.0,0.013636364,10.78136364,0,3,1,1,2,3,1,0,0,3490.424242,27,1
7,111.0,2,5.0,131,5396.264881,0.003928571,0.013640873,7.513426372,0,11,2,1,1,2,1,0,1,5512.264881,140,1
11,631.4166667,5,1037.15,501,21672.24425,0.003964723,0.014292461,9.131386805,0,11,2,2,1,2,1,0,1,23340.8109167,517,1
2,20.2,0,0.0,27,2129.8,0.012903226,0.051612903,6.476760366,0,9,2,6,3,3,1,0,1,2150.0,29,1
0,0.0,0,0.0,15,734.25,0.0,0.015384615,40.4014481,0,12,2,2,9,2,1,0,1,734.25,15,1
12,196.8571429,0,0.0,59,1533.025834,0.00721393,0.0322986,6.048714136,0,11,2,2,1,1,1,1,0,1729.8829769,71,1
4,61.63333333,0,0.0,33,1804.011111,0.0,0.005022447,41.64590199,0,11,2,2,2,2,1,0,1,1865.64444433,37,1
0,0.0,3,482.3333333,44,2453.75,0.0,0.001111111,48.868,0,5,1,1,8,2,1,1,1,2936.0833333,47,1
0,0.0,2,236.0,66,1483.55,0.0,0.006153846,143.2115385,0,5,2,4,3,3,1,1,1,1719.55,68,1
0,0.0,0,0.0,26,1435.375,0.0,0.020833333,20.79483821,0,12,2,2,4,2,1,0,0,1435.375,26,1
0,0.0,0,0.0,8,724.2,0.022222222,0.03968254,5.091914289,0,11,1,1,3,1,1,0,1,724.2,8,1
1,55.4,0,0.0,28,630.6466667,0.0,0.016666667,12.58722248,0,9,2,4,7,4,1,1,1,686.0466667,29,1
9,296.1166667,1,26.5,79,5057.175,0.002298851,0.022687466,17.78922266,0,11,2,2,1,10,1,0,1,5379.7916667,89,1
1,6.0,0,0.0,16,608.8333333,0.011764706,0.026666667,52.70052142,0,3,3,2,1,11,1,0,1,614.8333333,17,1
11,157.0583333,5,514.0,79,2605.702273,0.0,0.006407828,14.8513125,0,5,2,2,7,3,1,0,1,3276.7606063,95,1
2,44.0,2,53.0,8,667.6666667,0.0,0.018181818,56.62363636,0,5,2,2,1,4,1,1,1,764.6666667,12,1
1,27.5,0,0.0,114,1403.720238,0.0,0.000589971,255.5691579,0,11,4,5,2,8,1,0,1,1431.220238,115,1
5,224.8,0,0.0,30,974.9,0.00625,0.0140625,25.11150884,0,11,2,2,4,4,1,0,0,1199.7,35,1
2,95.0,0,0.0,20,1031.083333,0.0,0.021052632,68.20038032,0,12,2,2,1,10,1,0,0,1126.083333,22,1
1,114.0,1,173.0,36,2542.333333,0.042592593,0.059814815,33.44055556,0,5,2,2,7,1,1,1,0,2829.333333,38,1
5,66.4,0,0.0,39,742.6875,0.0,0.015217391,71.38981221,0,12,2,2,4,3,1,0,1,809.0875,44,1
1,73.0,1,740.0,50,1434.255128,0.0,0.019230769,22.03276923,0,3,2,2,3,2,1,1,0,2247.255128,52,1
10,132.7222222,1,104.0,103,3608.346752,0.0,0.007905605,14.69960115,0,11,2,10,7,2,1,0,0,3845.0689742,114,1
1,44.5,1,66.5,8,568.25,0.018181818,0.033333333,26.45046371,0,11,1,1,2,7,1,0,0,679.25,10,1
0,0.0,0,0.0,9,553.0,0.0,0.025,53.988,0,5,1,1,1,4,0,0,1,553.0,9,1
0,0.0,0,0.0,9,153.2,0.02,0.06,27.8892456,0,8,2,2,7,13,1,0,1,153.2,9,1
0,0.0,0,0.0,14,1340.75,0.0,0.015384615,57.58892308,0,5,4,1,3,4,0,0,1,1340.75,14,1
8,974.0,0,0.0,32,1003.416667,0.005263158,0.010526316,16.61144026,0,12,2,10,7,2,0,1,1,1977.416667,40,1
2,28.0,0,0.0,42,1329.666667,0.0,0.002325581,80.04344186,0,5,2,2,1,4,1,1,1,1357.666667,44,1
5,93.4,0,0.0,38,689.65,0.0,0.004878049,34.48748308,0,10,2,2,2,2,0,1,1,783.05,43,1
4,183.0,1,35.0,15,557.3333333,0.0,0.012631579,16.10052632,0,5,2,2,2,5,1,0,1,775.3333333,20,1
0,0.0,0,0.0,7,723.0,0.0,0.028571429,32.90611766,0,12,2,2,4,1,1,1,1,723.0,7,1
1,0.0,1,60.5,46,1038.916667,0.021276596,0.039007092,13.10326241,0,3,2,2,6,1,1,0,1,1099.416667,48,1
1,29.0,2,149.0,11,561.55,0.014285714,0.038571429,10.02085714,0,5,3,2,1,4,1,0,1,739.55,14,1
2,178.5,2,314.0,19,2340.5,0.0,0.015873016,52.08342857,0,5,2,4,1,4,1,0,0,2833.0,23,1
0,0.0,0,0.0,16,2337.0,0.0,0.013333333,17.76266667,0,3,2,2,1,1,1,0,1,2337.0,16,1
6,523.2142857,2,263.0,48,2309.732468,0.003846154,0.014903846,10.60089168,0,3,2,2,3,1,1,0,1,3095.9467537,56,1
11,2047.234848,9,1146.666667,45,3641.213151,0.002636535,0.014311471,7.753880158,0,3,2,2,1,2,1,0,1,6835.114666,65,1
14,367.25,3,400.375,195,7980.363439,7.5e-05,0.005865824,3.86863332,0,11,2,2,2,1,1,1,1,8747.988439,212,1
6,89.0,3,12.0,75,5378.045851,0.02013261,0.0464397,4.374401266,0,5,2,2,8,3,1,0,1,5479.045851,84,1
10,139.5,0,0.0,85,1740.271008,0.011827957,0.030865335,4.76956682,0,5,3,2,1,3,1,0,0,1879.771008,95,1
6,96.0,4,141.1666667,50,2871.262932,0.001851852,0.008161036,11.80233651,0,5,1,1,1,2,1,0,0,3108.4295987,60,1
6,155.0,0,0.0,84,2566.220887,0.0,0.007575758,16.56314545,0,3,2,2,7,2,1,0,0,2721.220887,90,1
1,40.5,2,1415.0,56,1568.65,0.006896552,0.02183908,28.16893067,0,11,2,2,1,8,1,1,0,3024.15,59,1
6,110.625,1,106.0,30,1508.521825,0.04,0.043294931,21.01746974,0,11,3,2,3,13,1,0,0,1725.146825,37,1
1,9.0,0,0.0,11,467.0,0.0,0.02,79.182,0,5,2,4,1,1,1,0,1,476.0,12,1
