Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor,SessionDuration,TotalPagesViewed,Revenue
2,28.0,0,0.0,9,163.375,0.0,0.018181818,0.0,0,12,1,2,3,2,0,1,0,0,191.375,11,0
2,992.7142857,5,809.5,28,1793.214286,0.005714286,0.016428571,9.69917706,0,11,2,2,1,10,0,0,0,1,3595.4285717,35,1
2,74.0,0,0.0,13,429.0,0.013333333,0.040444444,0.0,0,3,2,4,3,6,0,0,0,1,503.0,15,0
0,0.0,0,0.0,1,381.8,0.1,0.133333333,0.0,0,6,3,2,1,4,0,0,0,1,381.8,1,0
0,0.0,0,0.0,3,36.6,0.0,0.033333333,0.0,0,8,2,2,6,2,0,0,0,1,36.6,3,0
1,76.0,0,0.0,37,821.3333333,0.0,0.014285714,0.0,0,5,2,2,4,4,0,0,0,1,897.3333333,38,0
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0,5,2,2,3,1,0,0,0,1,0.0,3,0
0,0.0,0,0.0,37,785.3833333,0.05,0.079573935,0.0,0,5,2,2,3,11,0,0,0,1,785.3833333,37,0
7,170.8333333,1,39.0,4,45.33333333,0.0,0.011111111,0.0,0,5,3,2,1,2,0,0,0,1,255.16666663,12,0
0,0.0,0,0.0,84,1460.256115,0.004703833,0.013205032,0.0,0,11,1,1,1,2,1,0,0,1,1460.256115,84,0
6,145.0,0,0.0,13,644.0,0.0,0.013333333,0.0,0,3,2,2,1,2,0,1,0,0,789.0,19,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,5,2,2,1,1,0,0,0,1,0.0,1,0
4,131.1,0,0.0,13,777.05,0.0,0.003921569,0.0,0,10,2,2,1,2,0,0,0,1,908.15,17,0
0,0.0,0,0.0,24,488.3333333,0.0,0.004347826,72.30208696,0,5,2,2,1,4,0,1,0,0,488.3333333,24,1
4,71.3,0,0.0,66,4415.333333,0.009950249,0.02453119,0.0,0,5,2,2,6,11,0,0,0,1,4486.633333,70,0
1,29.0,1,13.5,24,1005.849206,0.0,0.007986111,0.0,0,3,1,1,3,3,0,0,0,1,1048.349206,26,0
0,0.0,0,0.0,5,74.0,0.0,0.04,0.0,0,3,2,2,1,10,0,0,0,1,74.0,5,0
0,0.0,0,0.0,11,276.0,0.0,0.011111111,0.0,0,5,2,2,1,1,0,0,0,1,276.0,11,0
0,0.0,0,0.0,10,148.5,0.09,0.096666667,0.0,0,5,1,1,1,2,0,0,0,1,148.5,10,0
0,0.0,0,0.0,9,268.5,0.055555556,0.1,0.0,0,5,2,2,1,6,0,0,0,1,268.5,9,0
0,0.0,0,0.0,16,318.0666667,0.025,0.033333333,0.0,0,7,3,2,3,1,0,0,0,1,318.0666667,16,0
0,0.0,0,0.0,2,5.0,0.0,0.1,0.0,0,3,2,2,1,13,1,0,0,1,5.0,2,0
0,0.0,0,0.0,42,2058.25,0.021138211,0.051219512,0.0,0,5,2,10,7,1,0,0,0,1,2058.25,42,0
12,975.6466667,4,276.08,53,2822.623603,0.006666667,0.017015392,0.0,0,9,3,2,8,2,1,0,0,1,4074.3502697,69,0
3,48.4,0,0.0,137,3004.628109,0.002380952,0.011750149,0.0,0,10,2,4,9,2,0,0,0,1,3053.0281090000003,140,0
0,0.0,0,0.0,22,337.1,0.0,0.027272727,0.0,0,8,2,4,1,3,0,0,0,1,337.1,22,0
2,16.0,0,0.0,42,1743.517857,0.0,0.012804878,0.0,0,11,2,2,1,2,0,0,0,1,1759.517857,44,0
0,0.0,2,63.5,14,376.0,0.0375,0.040625,0.0,0,11,2,2,2,11,1,0,0,1,439.5,16,1
8,52.85,2,33.5,71,1714.778571,0.018333333,0.035661897,0.0,0,11,2,2,1,1,0,0,0,1,1801.128571,81,0
0,0.0,0,0.0,16,680.75,0.0,0.014285714,0.0,0,5,2,2,1,2,0,0,0,1,680.75,16,0
0,0.0,0,0.0,3,40.4,0.0,0.066666667,0.0,0,6,2,2,1,4,1,0,0,1,40.4,3,0
0,0.0,0,0.0,13,283.5,0.0,0.030769231,0.0,0,5,2,2,5,3,0,0,0,1,283.5,13,0
0,0.0,0,0.0,8,70.2,0.025,0.061111111,0.0,0,3,1,2,8,1,0,0,0,1,70.2,8,0
5,66.6,0,0.0,13,523.6,0.0,0.013333333,0.0,0,10,2,2,6,3,0,0,0,1,590.2,18,0
2,109.0,5,125.0,1,34.0,0.0,0.00952381,0.0,0,5,3,2,1,4,0,0,0,1,268.0,8,0
2,353.0,0,0.0,24,2874.083333,0.025,0.025357143,0.0,0,5,2,2,3,6,0,0,0,1,3227.083333,26,0
0,0.0,0,0.0,5,42.0,0.04,0.08,0.0,0,5,2,2,2,13,0,0,0,1,42.0,5,0
6,342.1,0,0.0,82,895.1111111,0.002325581,0.004844961,0.0,0,9,2,2,1,3,0,0,0,1,1237.2111111,88,0
2,77.0,0,0.0,32,1223.416667,0.0,0.010784314,215.0094118,0,5,3,2,4,2,0,0,0,1,1300.416667,34,1
0,0.0,0,0.0,15,438.6666667,0.023076923,0.039487179,0.0,0,11,1,1,1,3,0,0,0,1,438.6666667,15,0
2,13.0,0,0.0,17,209.7,0.023529412,0.038235294,0.0,0,6,1,1,3,4,0,0,0,1,222.7,19,0
0,0.0,0,0.0,4,33.0,0.1,0.15,0.0,0,5,2,2,1,3,0,0,0,1,33.0,4,0
1,0.0,0,0.0,35,499.4,0.011764706,0.028151261,0.0,0,3,2,2,3,1,1,0,0,1,499.4,36,0
0,0.0,0,0.0,17,1356.0,0.0,0.035294118,0.0,0,5,4,1,3,3,0,0,0,1,1356.0,17,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,3,2,2,4,1,0,0,0,1,0.0,1,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,5,2,2,1,3,0,0,0,1,0.0,1,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,6,3,2,3,13,0,0,0,1,0.0,1,0
0,0.0,0,0.0,14,276.35,0.0,0.007142857,0.0,0,6,1,1,1,2,0,0,0,1,276.35,14,0
4,312.75,0,0.0,14,702.9166667,0.0,0.014259259,0.0,0,3,3,2,1,2,0,1,0,0,1015.6666667,18,0
1,23.0,2,272.5,30,974.2698413,0.006451613,0.007885305,11.47812903,0,5,2,2,4,1,1,0,0,1,1269.7698413,33,1
0,0.0,0,0.0,5,72.5,0.0,0.04,0.0,0,5,2,6,6,3,0,0,0,1,72.5,5,0
4,60.0,2,83.5,125,3727.32381,0.0,0.001158605,0.0,0,5,2,2,7,2,0,0,0,1,3870.82381,131,0
0,0.0,0,0.0,5,59.25,0.04,0.1,0.0,0,11,2,6,2,2,0,0,0,1,59.25,5,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,8,2,5,7,1,0,0,0,1,0.0,1,0
0,0.0,0,0.0,7,317.0,0.025,0.041666667,0.0,0,5,2,2,2,6,0,0,0,1,317.0,7,0
5,44.74,3,129.75,18,390.4566667,0.0,0.019230769,0.0,0,8,2,2,1,4,0,0,0,1,564.9466667,26,0
8,131.3333333,1,4.0,95,2107.583333,0.0,0.004166667,0.0,0,5,2,2,4,4,1,0,0,1,2242.9166663,104,0
6,91.75,0,0.0,11,380.6666667,0.0,0.005128205,0.0,0,12,2,2,1,2,1,0,0,1,472.4166667,17,0
5,265.0433333,1,0.0,38,1712.776667,0.013333333,0.040833333,0.0,0,8,2,2,8,1,0,0,0,1,1977.8200003,44,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,3,3,2,3,9,1,0,0,1,0.0,1,0
0,0.0,0,0.0,7,110.0,0.057142857,0.142857143,0.0,0,3,3,2,8,1,0,0,0,1,110.0,7,0
0,0.0,0,0.0,5,210.0,0.12,0.16,0.0,0,3,1,10,1,1,0,0,0,1,210.0,5,0
0,0.0,0,0.0,4,151.5,0.0,0.05,0.0,0,3,3,2,1,1,0,0,0,1,151.5,4,0
0,0.0,0,0.0,2,4.0,0.0,0.1,0.0,0,3,2,2,4,1,0,0,0,1,4.0,2,0
0,0.0,1,85.0,2,35.5,0.0,0.066666667,0.0,0,5,1,2,8,1,0,0,0,1,120.5,3,0
4,229.25,0,0.0,8,372.25,0.022222222,0.00952381,0.0,0,12,1,2,1,8,0,0,0,1,601.5,12,0
1,2.0,6,657.8333333,140,3252.200476,0.005479452,0.024292237,0.0,0,7,2,2,4,1,0,0,0,1,3912.0338093,147,0
3,142.1333333,2,141.2,8,361.2333333,0.008333333,0.038888889,0.0,0,10,1,1,1,2,1,0,0,1,644.5666666,13,0
4,33.0,0,0.0,19,502.4583333,0.0,0.011904762,0.0,0,3,2,2,1,1,0,0,0,1,535.4583333,23,0
8,1592.916667,2,146.6666667,14,1722.583333,0.0,0.031578947,0.0,0,11,4,1,3,8,0,1,0,0,3462.1666667,24,1
1,40.0,5,279.5,62,1088.830952,0.000980392,0.007230392,11.48461765,0,3,3,2,1,9,1,0,0,1,1408.330952,68,1
1,85.0,0,0.0,14,306.5,0.0,0.004444444,0.0,0,3,2,2,3,2,0,0,0,1,391.5,15,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0,5,3,2,7,1,0,0,0,1,0.0,1,0
3,40.0,0,0.0,9,1362.0,0.0,0.008333333,0.0,0,3,2,2,7,6,0,0,0,1,1402.0,12,0
2,90.0,1,48.5,40,3789.583333,0.0,0.023170732,0.0,0,12,2,2,4,2,1,0,0,1,3928.083333,43,0
3,29.25,0,0.0,32,1729.75,0.0,0.005714286,16.7293697,0,12,2,4,3,2,0,1,0,0,1759.0,35,1
0,0.0,0,0.0,1,36.0,0.0,0.066666667,0.0,0,3,3,2,6,2,1,0,0,1,36.0,1,0
7,78.3,5,120.0,87,1363.263492,0.004301075,0.008090118,30.80927957,0,5,2,2,3,2,0,0,0,1,1561.563492,99,1
3,19.0,0,0.0,8,344.0,0.0,0.007407407,0.0,0,2,2,4,2,3,0,0,0,1,363.0,11,0
2,28.0,0,0.0,7,115.6666667,0.0,0.02,0.0,1,5,1,1,1,5,1,1,0,0,143.6666667,9,0
0,0.0,0,0.0,17,465.6666667,0.0,0.005098039,0.0,0,5,3,2,1,2,0,0,0,1,465.6666667,17,0
0,0.0,0,0.0,6,330.0,0.066666667,0.1,0.0,0,3,3,2,8,10,0,0,0,1,330.0,6,0
0,0.0,0,0.0,8,136.1666667,0.0,0.008333333,0.0,1,2,2,2,5,1,1,0,0,1,136.1666667,8,0
0,0.0,0,0.0,23,502.4666667,0.0,0.035507246,0.0,0,5,2,2,7,1,0,0,0,1,502.4666667,23,0
8,183.0833333,1,40.5,349,6879.801826,0.000568182,0.004306345,1.625051033,0,11,4,2,9,10,0,0,0,1,7103.3851593,358,0
0,0.0,0,0.0,6,184.0,0.066666667,0.116666667,0.0,0,11,2,10,4,3,0,0,0,1,184.0,6,0
0,0.0,0,0.0,16,1773.25,0.04375,0.072916667,0.0,0,11,2,2,3,13,0,0,0,1,1773.25,16,0
0,0.0,0,0.0,2,33.0,0.0,0.1,0.0,0,2,1,1,1,3,0,0,0,1,33.0,2,0
2,182.4,1,0.0,19,555.4,0.027272727,0.053030303,0.0,0,10,3,2,1,2,0,0,0,1,737.8,22,0
